1,kashmiri
2,oriya
3,bhojpuri
4,urdu
5,malayalam
6,NULL
7,telugu
8,kannada
9,assamese
10,nepali
11,rajastani
12,sanskrit
13,punjabi
14,konkani
15,tamil
16,tulu
17,hindi
18,bengali
19,marathi
20,gujarati
