tt0929603,25,7,Mid000001
tt0929603,13,7,Mid000002
tt1725795,22,15,Mid000003
tt1725795,18,15,Mid000004
tt1725795,20,15,Mid000005
tt9179244,22,4,Mid000006
tt9179244,3,4,Mid000007
tt9179244,6,4,Mid000008
tt9075404,2,19,Mid000009
tt3451634,6,19,Mid000010
tt0398974,17,17,Mid000011
tt2342091,10,15,Mid000012
tt2342091,2,15,Mid000013
tt2342091,13,15,Mid000014
tt1702558,17,4,Mid000015
tt0000686,10,7,Mid000016
tt0493437,10,17,Mid000017
tt0000686,6,7,Mid000018
tt0493437,25,17,Mid000019
tt0493437,13,17,Mid000020
tt6890592,22,17,Mid000021
tt0273405,17,4,Mid000022
tt0049595,10,17,Mid000023
tt0060104,17,17,Mid000024
tt0049595,6,17,Mid000025
tt0049595,2,17,Mid000026
tt4936422,10,17,Mid000027
tt4936422,6,17,Mid000028
tt8210882,10,7,Mid000029
tt4936422,25,17,Mid000030
tt2930026,20,17,Mid000031
tt7253450,10,5,Mid000032
tt7253450,20,5,Mid000033
tt6597160,6,17,Mid000034
tt2378057,7,17,Mid000035
tt2378057,15,17,Mid000036
tt3881342,6,19,Mid000037
tt2378057,20,17,Mid000038
tt0000960,17,7,Mid000039
tt0156733,17,17,Mid000040
tt9476406,6,17,Mid000041
tt0269776,17,7,Mid000042
tt6127254,22,15,Mid000043
tt9198190,6,2,Mid000044
tt7822438,22,15,Mid000045
tt11454430,22,13,Mid000046
tt7822438,3,15,Mid000047
tt7822438,6,15,Mid000048
tt11454430,2,13,Mid000049
tt14085432,6,8,Mid000050
tt13010676,6,15,Mid000051
tt0232580,17,8,Mid000052
tt0000040,6,15,Mid000053
tt0388824,22,17,Mid000054
tt13323468,6,15,Mid000055
tt9877340,6,5,Mid000056
tt0000040,20,15,Mid000057
tt7228498,9,18,Mid000058
tt10109982,20,15,Mid000059
tt0275449,17,5,Mid000060
tt12816898,8,17,Mid000061
tt0829459,4,4,Mid000062
tt12816898,6,17,Mid000063
tt0829459,6,4,Mid000064
tt0829459,14,4,Mid000065
tt11357084,6,17,Mid000066
tt0000695,25,7,Mid000067
tt0154875,22,17,Mid000068
tt10435560,14,10,Mid000069
tt9877340,13,5,Mid000070
tt1228988,2,7,Mid000071
tt0364628,6,18,Mid000072
tt14176758,6,19,Mid000073
tt0267324,17,17,Mid000074
tt2622698,10,5,Mid000075
tt0246240,22,7,Mid000076
tt0246240,6,7,Mid000077
tt0230827,17,19,Mid000078
tt0395647,6,17,Mid000079
tt0395647,2,17,Mid000080
tt2486100,6,3,Mid000081
tt2486100,2,3,Mid000082
tt0982875,6,17,Mid000083
tt0982875,7,17,Mid000084
tt12961170,22,15,Mid000085
tt0237694,6,18,Mid000086
tt0234327,17,5,Mid000087
tt0349122,6,17,Mid000088
tt0349122,2,17,Mid000089
tt1332540,6,17,Mid000090
tt1332540,7,17,Mid000091
tt1332540,20,17,Mid000092
tt0263778,6,7,Mid000093
tt0263778,25,7,Mid000094
tt2403201,6,2,Mid000095
tt2403201,13,2,Mid000096
tt0401012,6,4,Mid000097
tt9828912,6,9,Mid000098
tt11754484,21,4,Mid000099
tt13530752,22,19,Mid000100
tt3129382,22,8,Mid000101
tt4298706,6,18,Mid000102
tt0293674,6,7,Mid000103
tt8938866,6,5,Mid000104
tt0078761,6,17,Mid000105
tt0382771,8,17,Mid000106
tt0078761,13,17,Mid000107
tt2403201,6,4,Mid000108
tt14074118,6,19,Mid000109
tt2403201,13,4,Mid000110
tt0262557,17,17,Mid000111
tt7282398,6,18,Mid000112
tt1404596,17,8,Mid000113
tt0274825,6,15,Mid000114
tt0320711,2,7,Mid000115
tt0982875,20,17,Mid000116
tt10189170,6,15,Mid000117
tt0246793,17,5,Mid000118
tt0395925,17,7,Mid000119
tt10847722,6,10,Mid000120
tt0232977,6,17,Mid000121
tt0232977,13,17,Mid000122
tt2637518,22,17,Mid000123
tt0260961,17,8,Mid000124
tt0256221,17,5,Mid000125
tt0001654,6,12,Mid000126
tt4879846,20,17,Mid000127
tt6958030,7,17,Mid000128
tt0001654,27,12,Mid000129
tt6958030,15,17,Mid000130
tt6958030,13,17,Mid000131
tt0357627,22,17,Mid000132
tt0357627,6,17,Mid000133
tt0002210,3,15,Mid000134
tt0002210,20,15,Mid000135
tt0233938,25,17,Mid000136
tt10427034,17,8,Mid000137
tt0233938,13,17,Mid000138
tt0271378,17,5,Mid000139
tt0275707,17,5,Mid000140
tt0000707,22,8,Mid000141
tt6467460,6,8,Mid000142
tt0275378,22,17,Mid000143
tt6467460,13,8,Mid000144
tt1613040,6,7,Mid000145
tt0490475,10,17,Mid000146
tt0063540,22,17,Mid000147
tt0063540,3,17,Mid000148
tt2123348,6,15,Mid000149
tt0063540,6,17,Mid000150
tt0320277,17,15,Mid000151
